SNo,d,s,t,r,w_i,SDP25,SDP50,SDP75,NULL1,PROJ25,PROJ50,PROJ75,NULL2,IA_COP25,IA_COP50,IA_COP75
,15,5,2,3,750,-0.000585322879431701,11.8148666320274,17.9959669465081,,-0.000585334378406077,11.8148138862924,17.9959669391941,,-0.000585335411233774,11.8148160443231,17.9963319078463
,15,5,3,2,750,0,18.6843514816836,26.6457167799835,,0,18.6842528955701,26.645715150358,,0,18.6842553248857,26.6457151551512
,15,5,2,3,1000,7.02570077487402,15.2912447728724,21.8282423517715,,7.02568067979972,15.2911786695126,21.8282423673217,,7.02568074517742,15.2911787024621,21.8282423594179
,15,5,3,2,1000,0,23.2221985693946,33.7992298674809,,0,23.2220772799135,33.7992278003537,,0,23.2220803295948,33.7992278064337
,20,5,2,3,750,4.87200363518201e-06,0.000150429400485141,0.00418047597986989,,-1.93325660788136e-06,-1.7772213370184e-07,-8.82685872682632e-08,,-1.96755350796197e-07,5.85433657528725e-06,0.00839341130846925
,20,5,3,2,750,0.000134858792051877,11.4973542022123,45.2368746732547,,-1.2582773508183e-05,11.4840195410865,45.2308384387414,,0.000465035077198336,11.4840196434284,45.2321465006472
,20,5,2,3,1000,5.61627537366516e-06,0.000166644788413623,0.00497270082849689,,-2.11323059980403e-06,-1.99054920067981e-07,-9.83188771856897e-08,,-2.1938648613031e-07,6.44659082710961e-06,0.0091945494279454
,20,5,3,2,1000,0.000167108141728044,25.1186277230144,54.8883890062846,,-1.55917450152486e-05,25.0942296576932,54.8810648993968,,0.000576240869479815,25.3731441653693,54.8826520543125
,25,10,5,5,750,0.0696820659906005,29.7982832675314,61.6677137329095,,0,29.7933169243647,61.6670461640791,,0,29.960331976452,61.6693272568476
,25,10,5,5,1000,14.916244593616,51.6572032445639,70.3467387931306,,14.7709267367301,51.3266995355057,70.3467958688758,,14.7710148341269,51.5837779978362,70.4084853847772
