SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-2362.42175376415,5.04606298011097e-09,5,0.2944591,0.7145988,1.0090579,,1,13,-1732.93754410744,1.69030145292468e-08,5,0.0434296,2.8043914,2.847821,26.6457167799835,,1,13,-1732.93758260606,4.5135234608304e-12,1,0.3472499,0.0082062,0.3554561,26.645715150358,,1,13,-1732.93758249283,-6.42179919422436e-09,5,0.0477269,2.3414302,2.3891571,26.6457151551512
2,,,,,,-1223.38624042273,1.33982848356776e-08,4,0.2531777,0.4569231,0.7101008,,3,,-1007.65374112129,1.47363498897771e-08,5,0.0311044,3.1473534,3.1784578,17.6340465646311,,3,,-1007.65375304436,2.61750092943422e-12,1,0.2064309,0.0108258,0.2172567,17.6340455900356,,3,,-1007.65374612808,5.8480837977386e-09,4,0.079353,2.0901302,2.1694832,17.6340461553744
3,,,,,,-1228.92356443405,2.04615732355967e-09,5,0.2233635,0.5135239,0.7368874,,12,,-998.409088611603,1.77374447884866e-09,5,0.0427159,3.012502,3.0552179,18.7574298755192,,12,,-998.409091776913,6.6043434922236e-13,1,0.2353551,0.0080826,0.2434377,18.7574296179516,,12,,-998.4090321064,-5.99046042109199e-06,4,0.0413817,1.782311,1.8236927,18.7574344734621
4,,,,,,-322.48151409626,2.31038998244713e-09,5,0.3594746,0.6174208,0.9768954,,,,-1.8007995095104e-10,0,5,0.0422344,2.7541057,2.7963401,99.9999999999442,,,,0,0,1,0.3557018,0.0053986,0.3611004,100,,,,-4.87936451206772e-13,0,5,0.044011,2.0723409,2.1163519,99.9999999999998
5,,,,,,-1556.44935005903,-4.78690848284992e-10,5,0.044232,0.5895337,0.6337657,,2,,-533.933671236038,4.71973965200331e-09,5,0.0619652,2.592141,2.6541062,65.695403373339,,2,,-533.933649646404,-1.4847404202246e-07,8,3.6958219,0.0942555,3.7900774,65.695404760447,,2,,-533.933652162552,1.94107561540773e-08,4,0.1147164,1.649036,1.7637524,65.6954045987875
6,,,,,,-1276.996504426,-1.16689130645237e-09,5,0.0983556,0.5127691,0.6111247,,11,,-1011.4927046299,-1.69889229377035e-06,5,0.0444716,3.5358361,3.5803077,20.7912706789629,,11,,-1011.49272187088,4.53222049468354e-10,1,0.2371836,0.0087555,0.2459391,20.7912693288431,,11,,-1011.47915554047,-0.00134135848343899,4,0.0533675,2.1525175,2.205885,20.7923316912198
7,,,,,,0,0,5,0.1287039,0.6455958,0.7742997,,,,-2.34194885706529e-11,0,5,0.0480994,2.9511146,2.999214,0,,,,0,0,1,0.2740366,0.0060381,0.2800747,0,,,,-5.94749718258647e-09,0,5,0.0920014,2.1549905,2.2469919,0
8,,,,,,-2.98023223876953e-08,0,5,0.1685766,0.6199139,0.7884905,,,,-6.54836185276508e-11,0,5,0.0452832,2.8166643,2.8619475,0,,,,0,0,1,0.1762021,0.0062679,0.18247,0,,,,-2.38418579101562e-07,0,5,0.0619033,2.2659297,2.327833,0
9,,,,,,-1335.74384832382,2.2311405308056e-09,5,0.0301169,0.4618675,0.4919844,,1,,-1087.14491295815,9.55051290005851e-10,5,0.0355142,2.5695576,2.6050718,18.611273087848,,1,,-1087.1475432336,3.41578922792171e-10,1,0.18948,0.0084284,0.1979084,18.6110761731885,,1,,-1087.14754319191,-3.82103250556156e-09,4,0.0324565,1.4698755,1.502332,18.6110761763093
10,15,5,3,2,750,-3.06954461848363e-11,0,5,0.0300949,0.3077893,0.3378842,,,,-7.43511918699369e-11,0,5,0.0329722,2.1624514,2.1954236,0,,,,0,0,1,0.2799579,0.0058213,0.2857792,0,,,,-5.1459872727833e-12,0,5,0.0440888,1.2921729,1.3362617,0
