SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP_xsol_3,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ_xsol_3,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP_xsol_3,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-2721.92341327667,-4.37959749232166e-09,9,0.3986558,2.817532,3.2161878,,18,,,-2721.92341089249,-7.49004329174985e-09,9,0.1485606,8.3014058,8.4499664,8.75919498464332e-08,,18,,,-2721.92341754586,1.17098231413027e-09,1,0.4489297,0.0208472,0.4697769,-1.56844335193769e-07,,18,,,-2721.92309474945,7.37657130079138e-10,9,0.0970297,4.3914007,4.4884304,1.17022844994835e-05
2,,,,,,-2319.082934618,-1.28509084098816e-09,9,0.4383656,2.1853441,2.6237097,,4,,,-2319.07954454422,-2.08545197922404e-09,9,0.098492,8.2967595,8.3952515,0.000146181653344085,,4,,,-2319.08941442688,5.4904850781563e-13,1,0.4249212,0.0227361,0.4476573,-0.000279412554940008,,4,,,-2319.08941459656,8.14486008859503e-09,9,0.1019768,4.5495543,4.6515311,-0.000279419871737738
3,,,,,,-4082.22726202011,-7.26400292596222e-08,8,0.4593287,2.3152337,2.7745624,,10,17,,-4082.2272644043,-4.22432536823067e-09,9,0.0966469,8.5465465,8.6431934,-5.84040436258269e-08,,6,10,,-4082.22726603695,2.89631868892158e-13,1,0.5272646,0.0220287,0.5492933,-9.83982835892702e-08,,10,17,,-4082.22726631165,6.81296589274272e-09,9,0.106843,4.7001653,4.8070083,-1.05127278526488e-07
4,,,,,,-4189.90282988548,-5.69031284928579e-09,8,0.2113962,2.2200852,2.4314814,,4,19,20,-3437.76705980301,1.48974638373692e-08,9,0.1017504,10.7675818,10.8693322,17.9511506738936,,4,19,20,-3439.90458549187,2.04055026379153e-09,1,0.450789,0.0199782,0.4707672,17.9001345578727,,4,19,20,-3439.90458393097,4.06687606077261e-09,9,0.5426884,6.3463177,6.8890061,17.9001345951265
5,,,,,,-2423.50287437439,-2.45944188495246e-09,9,0.1409714,2.001172,2.1421434,,20,,,-2423.49339294434,1.0734956414553e-07,9,0.1354243,8.8324785,8.9679028,0.000391228339523158,,20,,,-2423.50287918746,7.11758036764068e-10,1,0.4594767,0.0205761,0.4800528,-1.98599932209911e-07,,20,,,-2423.50287914276,1.06326503094959e-09,9,0.0959286,4.6601819,4.7561105,-1.96755350796197e-07
6,,,,,,-2445.67266201973,-9.74858912249799e-09,9,0.1220909,2.1208577,2.2429486,,17,,,-2443.34636354446,1.43091589307549e-07,9,0.0932991,9.4061641,9.4994632,0.0951189630318048,,17,,,-2445.67266417849,2.60315413655286e-13,1,0.3005042,0.0176968,0.318201,-8.82685872682632e-08,,17,,,-2445.65703487396,-3.71468750400965e-09,9,0.1403209,4.5980188,4.7383397,0.000638971274034131
7,,,,,,-1865.95398390293,1.43744649548234e-08,9,0.1359997,2.2290688,2.3650685,,16,,,-1865.95339012146,4.92060622275811e-09,9,0.0969591,7.2835276,7.3804867,3.18218710844335e-05,,16,,,-1865.95398397639,3.41190777858488e-13,1,0.4783989,0.0223068,0.5007057,-3.93697601509424e-09,,16,,,-1865.95398378372,-8.85131738473792e-09,9,0.1027651,4.3608118,4.4635769,6.38865109103262e-09
8,,,,,,-3138.44032859802,1.51934435030706e-08,9,0.1099157,2.0230421,2.1329578,,9,10,,-3138.30912685394,7.26028703537481e-09,9,0.0972272,10.1252551,10.2224823,0.00418047597986989,,9,10,,-3138.44033824571,-1.44895968021063e-13,1,0.3674685,0.0206098,0.3880783,-3.07403868024896e-07,,9,10,,-3137.86473369598,2.88094430606455e-09,9,0.092967,4.587044,4.680011,0.0183401575869916
9,,,,,,-3773.00056099892,-1.51823576316202e-05,9,0.0674547,1.5324031,1.5998578,,6,8,,-3773.00037717819,-2.05708011014601e-08,9,0.0749576,6.8047496,6.8797072,4.87200363518201e-06,,6,8,,-3773.00113648735,3.1272579009864e-09,1,0.365335,0.0149634,0.3802984,-1.52528053981917e-05,,6,8,,-3773.00113677979,1.09546952606586e-08,9,0.0688357,3.3721943,3.44103,-1.52605561335467e-05
10,20,5,2,3,750,-2869.22968828678,-6.23212338336502e-09,9,0.0593617,1.0976873,1.157049,,6,,,-2869.22525024414,9.33122828203005e-08,9,0.0718697,6.1150432,6.1869129,0.000154677147626198,,6,,,-2869.22974375635,1.75616052791252e-09,1,0.3034155,0.0171609,0.3205764,-1.93325660788136e-06,,6,,,-2868.98886203766,-3.40815551509044e-06,9,0.0635218,3.0539638,3.1174856,0.00839341130846925
