SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP_xsol_3,SDP_xsol_4,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ_xsol_3,PROJ_xsol_4,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP_xsol_3,IA_COP_xsol_4,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-1609.88758456707,-7.40482072745713e-09,33,0.616423,16.2043969,16.8208199,,23,24,,,-372.579089641571,-1.41262755640769e-08,33,0.548132,75.4044739,75.9526059,76.8568257055188,,23,24,,,-372.579090235022,1.58670084190579e-12,1,2.9175994,0.0224022,2.9400016,76.8568256686559,,23,24,,,-372.579087734222,1.66917268071532e-08,33,0.6347579,29.75234,30.3870979,76.8568258239959
2,,,,,,-2074.60243594646,-5.74612694390269e-09,33,0.5740273,17.9067372,18.4807645,,18,21,,,-795.242544651031,2.26355653797723e-08,33,0.6526755,83.569893,84.2225685,61.6677137329095,,18,21,,,-795.256394050249,-1.60614157739069e-08,2,10.6475341,0.0525872,10.7001213,61.6670461640791,,18,21,,,-795.209070444107,-1.08877351690194e-08,33,0.5207184,34.1779858,34.6987042,61.6693272568476
3,,,,,,-5.96046447753906e-08,0,33,0.6731873,14.9237996,15.5969869,,,,,,-1.69757186085917e-09,0,33,0.610914,80.6780416,81.2889556,0,,,,,,0,0,1,2.8220951,0.0153797,2.8374748,0,,,,,,-2.13636991185093e-09,0,33,0.5116134,32.2288335,32.7404469,0
4,,,,,,-1841.00892007351,-2.59008608271211e-08,33,0.5530906,17.4902167,18.0433073,,2,18,21,,-1201.50458621979,9.98485874325875e-08,33,0.6053427,89.5031363,90.108479,34.7366233200102,,2,18,21,,-1201.68779722327,1.55153788108917e-12,1,3.2196304,0.0170761,3.2367065,34.7266716570126,,2,18,21,,-1195.5519092083,-1.9529057757563e-08,33,0.5060892,36.1635278,36.669617,35.0599610804406
5,,,,,,-2155.49769043922,-4.83916678823622e-09,33,0.5299508,16.0902502,16.620201,,1,6,18,23,-2155.46988630295,-4.75474101433961e-07,33,0.5032485,72.480777,72.9840255,0.00128991723811959,,1,6,18,23,-2155.51732804254,3.08689851461933e-09,1,3.6493618,0.0222588,3.6716206,-0.000911047290833759,,1,6,18,23,-2155.51729297638,1.83904640209717e-08,33,0.5313952,35.2918323,35.8232275,-0.000909420466655985
6,,,,,,-1132.64745974541,0,33,0.5050751,11.9478754,12.4529505,,23,,,,-255.390962123871,3.81089629079821e-08,33,0.5134331,93.4957431,94.0091762,77.4518575990735,,23,,,,-255.392253382383,2.09218615762624e-12,1,3.194036,0.022419,3.216455,77.4517435955059,,23,,,,-255.233402252197,2.81820047710948e-08,33,0.5070347,37.1169571,37.6239918,77.4657683592415
7,,,,,,-2460.67793506384,1.81671412355649e-08,33,0.5326512,14.9937441,15.5263953,,11,15,17,,-1479.57649993896,8.60013556182434e-09,33,0.5273712,88.2220429,88.7494141,39.8711843246329,,11,15,17,,-1479.57722118064,5.83964090765623e-13,1,3.0145518,0.0225968,3.0371486,39.871155013943,,11,15,17,,-1479.57721281052,-2.07752295504141e-08,33,0.5212426,35.93433,36.4555726,39.8711553540984
8,,,,,,-2089.04925274849,9.27288311968496e-09,33,0.5163487,13.3831623,13.899511,,12,25,,,-1569.71279478073,6.26049633716555e-09,33,0.5245796,76.7886545,77.3132341,24.8599432150527,,12,25,,,-1569.71239834887,-6.01622198167814e-09,2,5.9377458,0.0497816,5.9875274,24.8599621917168,,12,25,,,-1569.69692516327,9.04380312147616e-09,33,0.5246153,33.1910512,33.7156665,24.8607028724635
9,,,,,,-1499.99999833107,7.94728597889439e-09,33,0.3641488,9.6926671,10.0568159,,3,16,,,-1140.51911020279,-1.35365312378241e-08,33,0.3805081,57.2203329,57.600841,23.9653925685498,,3,16,,,-1140.75239166617,2.11142649035979e-09,1,2.6469698,0.0164739,2.6634437,23.9498404709735,,3,16,,,-1140.60407614708,-2.90030572436652e-08,33,0.3377854,26.1216273,26.4594127,23.9597281722574
10,25,10,5,5,750,-1328.62084829807,-2.69172254153964e-08,33,0.3283613,8.8135318,9.1418931,,2,5,11,,-1327.6950378418,1.87300300332366e-07,33,0.3683048,57.3189192,57.687224,0.0696820659906005,,2,5,11,,-1328.68170564231,1.334792720428e-12,1,1.3558337,0.014123,1.3699567,-0.00458048993519737,,2,5,11,,-1328.68110752106,-8.19460422869154e-10,33,0.334202,21.9907407,22.3249427,-0.00453547173081804
