SNo,d,s,t,r,w_i,SDP_MPtime,SDP_SPtime,SDPtime,SDP_Iters,SDP_AvgGap,NULL1,PROJ_MPtime,PROJ_SPtime,PROJtime,PROJ_Iters,PROJ_AvgGap,NULL2,IA_COP_MPtime,IA_COP_SPtime,IA_COPtime,IA_COP_Iters,IA_COP_AvgGap,NULL3,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_time,DiscreteLB_Iters
,15,5,2,3,750,0.2366997,5.5523946,5.7890943,9,10.790977419412,,0.39042399,0.00847381,0.3988978,1,10.7909067575425,,0.11725293,3.60686914,3.72412207,8.8,10.7909467956565,,0.2947105,0.99958457,1.29429507,8.8
,15,5,3,2,750,0.04277901,2.83461175,2.87739076,5,26.8135140360228,,0.59974198,0.01620799,0.61594997,1.7,26.8134940620824,,0.06110065,1.92707344,1.98817409,4.5,26.8136008250304,,0.16305548,0.54399359,0.70704907,4.9
,15,5,2,3,1000,0.13295014,5.28490478,5.41785492,9,14.9938129538797,,0.33858879,0.00873694,0.34732573,1,14.9937729839404,,0.10668754,3.79506605,3.90175359,8.9,14.9937731626807,,0.32190225,0.90361627,1.22551852,8.9
,15,5,3,2,1000,0.04262122,2.91247684,2.95509806,5,30.6525942025926,,0.68991217,0.01828542,0.70819759,1.9,30.6525696035604,,0.05952949,1.86119115,1.92072064,4.5,30.652702372376,,0.12265064,0.57324129,0.69589193,4.9
,20,5,2,3,750,0.10151869,8.44795117,8.54946986,9,1.80511789231084,,0.41265033,0.0198904,0.43254073,1,1.78998371058038,,0.1412877,4.46196526,4.60325296,9,1.79272238616586,,0.21435404,2.0542426,2.26859664,8.8
,20,5,3,2,750,0.04019834,5.01860121,5.05879955,5,23.7290627809744,,0.75460471,0.03727966,0.79188437,1.6,23.2634613203314,,0.0490342,2.42850267,2.47753687,4.6,23.3610451987598,,0.09432423,1.4281726,1.52249683,4.6
,20,5,2,3,1000,0.09381443,8.22640496,8.32021939,9,1.86939135610867,,0.42445869,0.01902049,0.44347918,1,1.85811750143971,,0.1026861,4.44321267,4.54589877,9,1.86129126471266,,0.21153835,2.05619434,2.26773269,8.8
,20,5,3,2,1000,0.0374274,4.64360676,4.68103416,5,31.2009241276308,,0.73377575,0.03278275,0.7665585,1.5,31.1889443111389,,0.04729183,2.30273088,2.35002271,4.4,31.315381425362,,0.10721588,1.32977136,1.43698724,4.6
,25,10,5,5,750,0.52345095,77.46820144,77.99165239,33,33.9480512448976,,3.94053579,0.02550983,3.96604562,1.2,33.9377753224661,,0.49294541,32.19692257,32.68986798,33,33.9738024027147,,0.51932641,14.14463813,14.66396454,33
,25,10,5,5,1000,0.51986801,78.17297657,78.69284458,33,49.132510738544,,4.1529444,0.02457176,4.17751616,1.2,49.0515019947331,,0.51934811,33.13412922,33.65347733,33,49.1116295222516,,0.52138648,14.50734669,15.02873317,33
