SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ_xsol_3,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP_xsol_3,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-2639.90489125252,-2.82229129602804e-09,9,0.1761916,4.5292321,4.7054237,,18,,-2306.05340623856,-2.72971531858146e-07,9,0.090484,8.4780853,8.5685693,12.6463451816086,,18,,,-2306.05754459855,1.03508641854754e-10,2,0.9365557,0.0627785,0.9993342,12.6461884199009,,18,,,-2306.05747890472,-2.84772094225321e-06,9,0.0996378,8.2746769,8.3743147,12.6461909083928
2,,,,,,-2274.21590471268,-2.62088769372673e-09,9,0.1419319,4.3285294,4.4704613,,4,,-1864.21025276184,7.49828934194507e-09,9,0.0913019,8.5462705,8.6375724,18.0284400923067,,4,,,-1864.21254862845,3.30251881122996e-09,2,0.8699412,0.0678854,0.9378266,18.0283391402993,,4,,,-1864.21254873276,1.13473848692395e-08,9,0.1057611,6.9457341,7.0514952,18.0283391357128
3,,,,,,-3998.4753677845,-0.00414214859518195,9,0.2013587,3.8543818,4.0557405,,10,17,-3537.64745521545,-6.16425314858894e-09,9,0.0916425,8.7228668,8.8145093,11.5250906953663,,6,10,,-3537.6474746231,5.39889541686636e-13,2,1.0658143,0.0665744,1.1323887,11.5250902099903,,10,17,,-3537.64747428894,-6.61146161909325e-09,9,0.1167926,8.3024489,8.4192415,11.5250902183474
4,,,,,,-3622.29297947884,-2.63279177528998e-08,9,0.1212918,3.2527269,3.3740187,,19,,-2940.78528308868,-7.93066153469807e-08,9,0.0862644,9.7949889,9.8812533,18.8142621331587,,4,19,20,-2967.10293928534,2.28603233197734e-08,3,1.5470535,0.0888426,1.6358961,18.0877152650354,,4,19,20,-2967.10292720795,-2.37650047564337e-08,9,0.1844279,10.4579936,10.6424215,18.0877155984538
5,,,,,,-2342.21731948853,-2.16307631394962e-08,9,0.113457,3.344474,3.457931,,20,,-2038.91673088074,-6.9637034006568e-06,9,0.0948246,8.2146096,8.3094342,12.949293222459,,20,,,-2038.9318277116,-3.70456402492951e-11,2,0.9861807,0.066826,1.0530067,12.9486486695076,,20,,,-2038.93174648285,-2.82183232469192e-07,9,0.1014261,8.0816153,8.1830414,12.9486521375354
6,,,,,,-2381.76253962517,-9.3845383067823e-09,9,0.1092265,3.8587996,3.9680261,,17,,-2012.50806665421,-4.22546155341102e-10,9,0.1055129,8.7987944,8.9043073,15.5034125706366,,17,,,-2012.65797308631,1.79647820705163e-10,2,0.855106,0.0551,0.910206,15.497118642102,,17,,,-2012.65782546997,-3.9368428270575e-06,9,0.0973016,8.2380419,8.3353435,15.4971248398795
7,,,,,,-1814.93942117691,-1.0262850249972e-08,9,0.1108846,3.1359662,3.2468508,,16,,-1549.22772216797,3.04741024167478e-08,9,0.0925788,9.59908,9.6916588,14.6402516749919,,16,,,-1549.23604660239,2.02829271983235e-10,2,0.9077965,0.0515338,0.9593303,14.6397930131589,,16,,,-1549.23574495316,4.74192034881224e-09,9,0.0948016,7.7893228,7.8841244,14.639809633506
8,,,,,,-3059.83717823029,-2.921951788781e-08,9,0.0964404,3.5832475,3.6796879,,9,10,-2734.22106933594,-1.41207095201267e-08,9,0.0942944,11.4945226,11.588817,10.6416155477487,,9,10,,-2735.41597879597,-1.37085060717542e-10,2,0.905402,0.0471818,0.9525838,10.6025641410748,,9,10,,-2735.4159784317,8.14839851799755e-09,9,0.0841906,8.8432475,8.9274381,10.6025641529795
9,,,,,,-3713.50037109852,-5.61777934203235e-09,9,0.0634679,2.2283983,2.2918662,,6,8,-3401.21611785889,7.46730331602918e-09,9,0.0810133,8.7774832,8.8584965,8.40943104974708,,6,8,,-3401.23198251426,-3.32112724274384e-11,2,0.6832047,0.0356439,0.7188486,8.40900383408018,,6,8,,-3401.23198223114,5.2304277857428e-09,9,0.0707922,5.9621297,6.0329219,8.40900384170431
10,20,5,2,3,750,-2774.27752280235,-3.35699138590407e-10,9,0.0782542,2.2844291,2.3626833,,6,,-2444.25203323364,-3.27117848207143e-06,9,0.0761307,6.8450891,6.9212198,11.8959075599382,,6,,,-2444.25705826248,9.58329483594205e-11,2,0.6835226,0.0387615,0.7222841,11.8957264306604,,6,,,-2444.25701236725,1.97079875952772e-09,9,0.0597725,5.3099074,5.3696799,11.8957280849734
