SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-4933.65596389771,0,5,0.1599818,2.5795437,2.7395255,,17,,-1233.83540487289,-1.93151140544159e-08,5,0.1665802,11.2884454,11.4550256,74.9914583849877,,1,17,-1868.46277984261,-3.36643867104028e-10,4,2.673817,0.1141928,2.7880098,62.1282312038945,,1,17,-1425.95190382004,-3.27066856786779e-08,5,0.059873,17.9055875,17.9654605,71.097459688018
2,,,,,,-3385.21383023262,0,4,0.0567208,2.0531384,2.1098592,,18,,-2275.51118469238,-5.23740871219717e-08,5,0.0791206,9.4241942,9.5033148,32.7808729726235,,18,,-2325.06075363237,2.71329799005637e-08,25,21.6109089,0.9106635,22.5215724,31.3171672386615,,18,,-1938.22942304611,-8.85418270027235e-09,5,0.0654682,13.1839268,13.249395,42.7442542702561
3,,,,,,-2669.80172717571,0,4,0.1993746,1.3985305,1.5979051,,12,,-2641.19008207321,-9.7871253527877e-10,5,0.1152243,15.652425,15.7676493,1.0716767770155,,12,,-2642.50921295337,-3.09760597080681e-13,3,1.429112,0.0909694,1.5200814,1.02226745696261,,12,,-2153.17744636536,1.6723101386128e-09,5,0.0714316,17.9197845,17.9912161,19.3506609705011
4,,,,,,-5326.33180844784,0,5,0.0609282,1.7461145,1.8070427,,19,,-600.076425552368,-1.37116145838015e-08,5,0.3052394,8.9332214,9.2384608,88.7337768818567,,19,,-627.376033195961,1.48065711058213e-07,27,22.2589014,0.852807,23.1117084,88.2212363825905,,19,,-494.694430828094,-2.73221020295142e-08,4,0.0624273,9.7825245,9.8449518,90.7122866426856
5,,,,,,-3819.93238162994,0,4,0.0279965,0.9337597,0.9617562,,2,17,-3133.54019975662,9.62284423345263e-09,5,0.0547208,7.6847352,7.739456,17.9686997909749,,2,17,-3136.41292904308,1.85798121598121e-08,29,30.950937,1.0417285,31.9926655,17.8934961224421,,2,17,-2529.6194601059,1.38429738185464e-08,5,0.0425746,9.0675482,9.1101228,33.7784230875175
6,,,,,,-3981.78854346275,-7.48465722435822e-10,5,0.0595125,1.8375566,1.8970691,,14,,-3938.91747379303,-1.0280853499676e-07,5,0.0660688,10.9538079,11.0198767,1.07667871364261,,14,,-3951.903747826,-2.42559307373799e-09,2,1.1628494,0.0650068,1.2278562,0.750536983834103,,14,,-3335.8885102272,2.87184730897156e-09,4,0.0729773,7.8251097,7.898087,16.2213544537914
7,,,,,,-6466.34673142433,9.2176691493717e-10,4,0.0485367,1.3263938,1.3749305,,5,15,-5854.97884225845,8.59833650720377e-09,5,0.0780962,10.1903105,10.2684067,9.45461037829645,,5,15,-5939.3232662434,-3.06262064212639e-14,2,1.4738601,0.0632935,1.5371536,8.15025062945934,,5,15,-4919.41557121277,9.61886420426491e-10,5,0.0523803,12.7043526,12.7567329,23.9227994486281
8,,,,,,-5229.5674302578,0,4,0.0459234,1.4511898,1.4971132,,9,,-3933.50206136703,5.88642882459021e-09,5,0.054466,10.8608321,10.9152981,24.7834144252897,,9,17,-4656.63381591055,9.72296408406043e-09,2,1.3195741,0.0631119,1.382686,10.9556597555719,,9,17,-3776.03447628021,6.65452121196632e-09,5,0.0619529,20.0690494,20.1310023,27.7945159587689
9,,,,,,-3134.45509588718,0,5,0.0262544,0.9001918,0.9264462,,2,,-1453.44339704514,1.58116195443592e-08,5,0.0410377,7.4854569,7.5264946,53.630109458188,,2,,-1454.43326178757,4.43549559210665e-08,67,51.5910353,1.4104959,53.0015312,53.5985293362162,,2,,-1167.88976860046,-1.11400254190536e-09,4,0.026829,4.1300191,4.1568481,62.7402616125243
10,20,5,3,2,2000,-2951.81370973587,0,5,0.0351662,0.9263769,0.9615431,,6,,-2834.17704916,1.84942569724473e-09,5,0.0224776,9.0995446,9.1220222,3.98523322077777,,6,,-2924.4697029942,-2.33557051499679e-11,2,0.6242556,0.0375962,0.6618518,0.926345949660739,,6,,-2384.00672531128,8.25676942161366e-10,5,0.0298792,9.9786928,10.008572,19.2358678514099
