SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP_xsol_3,SDP_xsol_4,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ_xsol_3,PROJ_xsol_4,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP_xsol_3,IA_COP_xsol_4,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-4340.88646328449,2.74619690146382e-09,33,0.8689989,27.4006246,28.2696235,,23,24,,,-1094.30086684227,1.67716574481544e-08,33,1.4136155,580.7115408,582.1251563,74.7908433888345,,,,,,0,0,14,65.4292338,0.5058776,65.9351114,100,,23,24,,,-836.241827249527,1.38353305518179e-08,33,1.1885211,67.7756844,68.9642055,80.7356899489882
2,,,,,,-5505.13324093819,4.33084121068305e-09,33,0.7866985,30.1812962,30.9679947,,18,21,,,-2157.37262153625,1.06156418725503e-08,33,1.433566,540.7114918,542.1450578,60.8116184092831,,18,21,,,-2157.51643053989,2.88355048886035e-08,103,1534.7410418,3.7355914,1538.4766332,60.8090061382019,,18,21,,,-1807.40114498138,-8.85541530514237e-10,33,0.7779254,60.1662312,60.9441566,67.1688028994305
3,,,,,,0,0,33,1.2780584,25.5660596,26.844118,,,,,,-6.51421851216583e-06,0,33,1.1874339,605.9345377,607.1219716,0,,,,,,0,0,1,4.0118403,0.0206235,4.0324638,0,,,,,,-5.40603070167621e-10,0,33,1.3820958,56.0325086,57.4146044,0
4,,,,,,-5457.34025928378,3.82267270872434e-09,33,1.3075762,35.5308184,36.8383946,,2,18,21,22,-3928.88752317429,-1.99265831528211e-09,33,1.3588252,760.8022977,762.1611229,28.0072830992966,,2,18,21,22,-3932.40224730014,5.39660043397608e-09,2,8.8163663,0.0620808,8.8784471,27.9428794895002,,2,18,21,,-3213.08025836945,-5.24264018316135e-06,33,0.9910802,80.1580181,81.1490983,41.1236956885087
5,,,,,,-5909.04216647148,-1.10957253994485e-08,33,0.6355016,25.2881302,25.9236318,,1,6,18,23,-5860.76684427261,-2.09112959634408e-09,33,1.1751016,467.9481526,469.1232542,0.816973730070619,,1,6,18,23,-5860.89771479513,-6.20720405665513e-13,2,15.1103634,0.0652374,15.1756008,0.814758979882187,,1,6,18,23,-4643.52123498917,-1.98299688806125e-08,32,1.0079332,66.4481934,67.4561266,21.4166847321384
6,,,,,,-3274.10002225637,-1.82048942824641e-09,33,0.3188456,9.7337407,10.0525863,,23,,,,-866.463570833206,8.81506939540953e-10,33,0.5187501,316.5252727,317.0440228,73.535824655837,,23,,,,-867.4150801618,5.46891549507304e-08,13,35.1278571,0.2961278,35.4239849,73.5067629496544,,23,,,,-511.508318901062,4.12919881824211e-08,33,0.305748,25.9486949,26.2544429,84.3771321760491
7,,,,,,-6684.85723149776,-3.56654706069383e-09,33,0.9190478,25.6058324,26.5248802,,11,15,17,,-4285.29259467125,-9.11720510016152e-09,33,1.0074369,482.4012207,483.4086576,35.8955255696446,,11,15,17,,-4285.32617866129,1.25778318521762e-08,13,64.8013369,0.5270113,65.3283482,35.895023180605,,11,15,17,,-3534.63074684143,1.16819880675627e-08,33,1.3915015,70.1491667,71.5406682,47.1248132243284
8,,,,,,-5844.9990003109,-1.52963186406585e-09,33,1.2291675,26.2444183,27.4735858,,6,12,,,-4505.52165746689,5.01024102504609e-09,33,1.1933783,465.1387247,466.332103,22.916639383048,,6,12,,,-4505.52195619392,3.39935992472543e-11,3,15.9081326,0.1105475,16.0186801,22.916634272234,,6,12,,,-4040.70219874382,-5.10970668148884e-09,33,0.6962863,56.3643911,57.0606774,30.869069463846
9,,,,,,-4084.01288414001,0,33,0.4974431,17.4230989,17.920542,,3,16,,,-3559.84256958961,-7.88898503216875e-07,33,0.6590173,533.0859442,533.7449615,12.8346880732424,,3,16,,,-3569.25940413951,-2.2678382065454e-12,2,6.3545007,0.0623593,6.41686,12.604110089846,,3,16,,,-2909.52491044998,2.08883464919958e-09,33,0.5339363,58.7559247,59.289861,28.758184829707
10,25,10,5,5,1500,-3913.8773239255,-4.56871586733401e-09,33,0.5446709,19.8174261,20.362097,,2,5,11,,-3871.66763782501,1.40664302405764e-09,33,0.76654,464.0657913,464.8323313,1.07846216442338,,2,5,11,,-3873.12708088958,-4.69643614979984e-14,2,10.1319349,0.0646073,10.1965422,1.04117323215039,,2,5,11,,-2995.569480896,-1.14702367970021e-08,33,0.5872172,64.763165,65.3503822,23.4628673059294
